anbefalt_term:en;anbefalt_term:nn;anbefalt_term:nb;tillatt_term:nb;tillatt_term:nn;tillatt_term:en;frarådet_term:nb;frarådet_term:nn;frarådet_term:en;definisjon:nb;definisjon:nn;definisjon:en;definisjon:forhold_til_kilde;definisjon:kilde;definisjon:kilde;definisjon_for_allmennheten:nb;definisjon_for_allmennheten:nn;definisjon_for_allmennheten:en;definisjon_for_allmennheten:forhold_til_kilde;definisjon_for_allmennheten:kilde;definisjon_for_allmennheten:kilde;definisjon_for_spesialister:nb;definisjon_for_spesialister:nn;definisjon_for_spesialister:en;definisjon_for_spesialister:forhold_til_kilde;definisjon_for_spesialister:kilde;definisjon_for_spesialister:kilde;merknad:nb;merknad:nn;merknad:en;eksempel:nb;eksempel:nn;eksempel:en;fagområde:nb;fagområde:nn;fagområde:en;verdiområde:uri;verdiområde:tekst;kontaktpunkt:epost;kontaktpunkt:telefon;gyldig_fom;gyldig_tom;se_også;versjon
anbefalt term 407_en;anbefalt term 407_nn;anbefalt term 407_nb;tillatt term 407_nb;tillatt term 407_nn;tillatt term 407_en;frarådet term 407_nb;frarådet term 407_nn;frarådet term 407_en;definisjon 407_nb;definisjon 407_nn;definisjon 407_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 407_nb;definisjon for allmennheten 407_nn;definisjon for allmennheten 407_en;egendefinert;;;definisjon for spesialister 407_nb;definisjon for spesialister 407_nn;definisjon_for_spesialister407_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad407_nb;merknad407_nn;merknad407_en;eksempel407_nb;eksempel407_nn;eksempel407_en;fagområde11_nb;fagområde11_nn;fagområde11_en;http://lenketilverdiomraade407.no;Tittel verdiområde 407;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 408_en;anbefalt term 408_nn;anbefalt term 408_nb;tillatt term 408_nb;tillatt term 408_nn;tillatt term 408_en;frarådet term 408_nb;frarådet term 408_nn;frarådet term 408_en;definisjon 408_nb;definisjon 408_nn;definisjon 408_en;egendefinert;;;definisjon for allmennheten 408_nb;definisjon for allmennheten 408_nn;definisjon for allmennheten 408_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 408_nb;definisjon for spesialister 408_nn;definisjon_for_spesialister408_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad408_nb;merknad408_nn;merknad408_en;eksempel408_nb;eksempel408_nn;eksempel408_en;fagområde12_nb;fagområde12_nn;fagområde12_en;http://lenketilverdiomraade408.no;Tittel verdiområde 408;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 409_en;anbefalt term 409_nn;anbefalt term 409_nb;tillatt term 409_nb;tillatt term 409_nn;tillatt term 409_en;frarådet term 409_nb;frarådet term 409_nn;frarådet term 409_en;definisjon 409_nb;definisjon 409_nn;definisjon 409_en;egendefinert;;;definisjon for allmennheten 409_nb;definisjon for allmennheten 409_nn;definisjon for allmennheten 409_en;egendefinert;;;definisjon for spesialister 409_nb;definisjon for spesialister 409_nn;definisjon_for_spesialister409_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad409_nb;merknad409_nn;merknad409_en;eksempel409_nb;eksempel409_nn;eksempel409_en;fagområde2_nb;fagområde2_nn;fagområde2_en;http://lenketilverdiomraade409.no;Tittel verdiområde 409;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 410_en;anbefalt term 410_nn;anbefalt term 410_nb;tillatt term 410_nb;tillatt term 410_nn;tillatt term 410_en;frarådet term 410_nb;frarådet term 410_nn;frarådet term 410_en;definisjon 410_nb;definisjon 410_nn;definisjon 410_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 410_nb;definisjon for allmennheten 410_nn;definisjon for allmennheten 410_en;egendefinert;;;definisjon for spesialister 410_nb;definisjon for spesialister 410_nn;definisjon_for_spesialister410_en;egendefinert;;;merknad410_nb;merknad410_nn;merknad410_en;eksempel410_nb;eksempel410_nn;eksempel410_en;fagområde3_nb;fagområde3_nn;fagområde3_en;http://lenketilverdiomraade410.no;Tittel verdiområde 410;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 411_en;anbefalt term 411_nn;anbefalt term 411_nb;tillatt term 411_nb;tillatt term 411_nn;tillatt term 411_en;frarådet term 411_nb;frarådet term 411_nn;frarådet term 411_en;definisjon 411_nb;definisjon 411_nn;definisjon 411_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 411_nb;definisjon for allmennheten 411_nn;definisjon for allmennheten 411_en;egendefinert;;;definisjon for spesialister 411_nb;definisjon for spesialister 411_nn;definisjon_for_spesialister411_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad411_nb;merknad411_nn;merknad411_en;eksempel411_nb;eksempel411_nn;eksempel411_en;fagområde4_nb;fagområde4_nn;fagområde4_en;http://lenketilverdiomraade411.no;Tittel verdiområde 411;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 412_en;anbefalt term 412_nn;anbefalt term 412_nb;tillatt term 412_nb;tillatt term 412_nn;tillatt term 412_en;frarådet term 412_nb;frarådet term 412_nn;frarådet term 412_en;definisjon 412_nb;definisjon 412_nn;definisjon 412_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 412_nb;definisjon for allmennheten 412_nn;definisjon for allmennheten 412_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 412_nb;definisjon for spesialister 412_nn;definisjon_for_spesialister412_en;egendefinert;;;merknad412_nb;merknad412_nn;merknad412_en;eksempel412_nb;eksempel412_nn;eksempel412_en;fagområde5_nb;fagområde5_nn;fagområde5_en;http://lenketilverdiomraade412.no;Tittel verdiområde 412;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 413_en;anbefalt term 413_nn;anbefalt term 413_nb;tillatt term 413_nb;tillatt term 413_nn;tillatt term 413_en;frarådet term 413_nb;frarådet term 413_nn;frarådet term 413_en;definisjon 413_nb;definisjon 413_nn;definisjon 413_en;egendefinert;;;definisjon for allmennheten 413_nb;definisjon for allmennheten 413_nn;definisjon for allmennheten 413_en;egendefinert;;;definisjon for spesialister 413_nb;definisjon for spesialister 413_nn;definisjon_for_spesialister413_en;egendefinert;;;merknad413_nb;merknad413_nn;merknad413_en;eksempel413_nb;eksempel413_nn;eksempel413_en;fagområde6_nb;fagområde6_nn;fagområde6_en;http://lenketilverdiomraade413.no;Tittel verdiområde 413;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 414_en;anbefalt term 414_nn;anbefalt term 414_nb;tillatt term 414_nb;tillatt term 414_nn;tillatt term 414_en;frarådet term 414_nb;frarådet term 414_nn;frarådet term 414_en;definisjon 414_nb;definisjon 414_nn;definisjon 414_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 414_nb;definisjon for allmennheten 414_nn;definisjon for allmennheten 414_en;egendefinert;;;definisjon for spesialister 414_nb;definisjon for spesialister 414_nn;definisjon_for_spesialister414_en;egendefinert;;;merknad414_nb;merknad414_nn;merknad414_en;eksempel414_nb;eksempel414_nn;eksempel414_en;fagområde7_nb;fagområde7_nn;fagområde7_en;http://lenketilverdiomraade414.no;Tittel verdiområde 414;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 415_en;anbefalt term 415_nn;anbefalt term 415_nb;tillatt term 415_nb;tillatt term 415_nn;tillatt term 415_en;frarådet term 415_nb;frarådet term 415_nn;frarådet term 415_en;definisjon 415_nb;definisjon 415_nn;definisjon 415_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 415_nb;definisjon for allmennheten 415_nn;definisjon for allmennheten 415_en;egendefinert;;;definisjon for spesialister 415_nb;definisjon for spesialister 415_nn;definisjon_for_spesialister415_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad415_nb;merknad415_nn;merknad415_en;eksempel415_nb;eksempel415_nn;eksempel415_en;fagområde8_nb;fagområde8_nn;fagområde8_en;http://lenketilverdiomraade415.no;Tittel verdiområde 415;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 416_en;anbefalt term 416_nn;anbefalt term 416_nb;tillatt term 416_nb;tillatt term 416_nn;tillatt term 416_en;frarådet term 416_nb;frarådet term 416_nn;frarådet term 416_en;definisjon 416_nb;definisjon 416_nn;definisjon 416_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 416_nb;definisjon for allmennheten 416_nn;definisjon for allmennheten 416_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 416_nb;definisjon for spesialister 416_nn;definisjon_for_spesialister416_en;egendefinert;;;merknad416_nb;merknad416_nn;merknad416_en;eksempel416_nb;eksempel416_nn;eksempel416_en;fagområde9_nb;fagområde9_nn;fagområde9_en;http://lenketilverdiomraade416.no;Tittel verdiområde 416;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 417_en;anbefalt term 417_nn;anbefalt term 417_nb;tillatt term 417_nb;tillatt term 417_nn;tillatt term 417_en;frarådet term 417_nb;frarådet term 417_nn;frarådet term 417_en;definisjon 417_nb;definisjon 417_nn;definisjon 417_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 417_nb;definisjon for allmennheten 417_nn;definisjon for allmennheten 417_en;egendefinert;;;definisjon for spesialister 417_nb;definisjon for spesialister 417_nn;definisjon_for_spesialister417_en;egendefinert;;;merknad417_nb;merknad417_nn;merknad417_en;eksempel417_nb;eksempel417_nn;eksempel417_en;fagområde10_nb;fagområde10_nn;fagområde10_en;http://lenketilverdiomraade417.no;Tittel verdiområde 417;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 418_en;anbefalt term 418_nn;anbefalt term 418_nb;tillatt term 418_nb;tillatt term 418_nn;tillatt term 418_en;frarådet term 418_nb;frarådet term 418_nn;frarådet term 418_en;definisjon 418_nb;definisjon 418_nn;definisjon 418_en;egendefinert;;;definisjon for allmennheten 418_nb;definisjon for allmennheten 418_nn;definisjon for allmennheten 418_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 418_nb;definisjon for spesialister 418_nn;definisjon_for_spesialister418_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad418_nb;merknad418_nn;merknad418_en;eksempel418_nb;eksempel418_nn;eksempel418_en;fagområde11_nb;fagområde11_nn;fagområde11_en;http://lenketilverdiomraade418.no;Tittel verdiområde 418;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 419_en;anbefalt term 419_nn;anbefalt term 419_nb;tillatt term 419_nb;tillatt term 419_nn;tillatt term 419_en;frarådet term 419_nb;frarådet term 419_nn;frarådet term 419_en;definisjon 419_nb;definisjon 419_nn;definisjon 419_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 419_nb;definisjon for allmennheten 419_nn;definisjon for allmennheten 419_en;egendefinert;;;definisjon for spesialister 419_nb;definisjon for spesialister 419_nn;definisjon_for_spesialister419_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad419_nb;merknad419_nn;merknad419_en;eksempel419_nb;eksempel419_nn;eksempel419_en;fagområde12_nb;fagområde12_nn;fagområde12_en;http://lenketilverdiomraade419.no;Tittel verdiområde 419;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 420_en;anbefalt term 420_nn;anbefalt term 420_nb;tillatt term 420_nb;tillatt term 420_nn;tillatt term 420_en;frarådet term 420_nb;frarådet term 420_nn;frarådet term 420_en;definisjon 420_nb;definisjon 420_nn;definisjon 420_en;egendefinert;;;definisjon for allmennheten 420_nb;definisjon for allmennheten 420_nn;definisjon for allmennheten 420_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 420_nb;definisjon for spesialister 420_nn;definisjon_for_spesialister420_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad420_nb;merknad420_nn;merknad420_en;eksempel420_nb;eksempel420_nn;eksempel420_en;fagområde2_nb;fagområde2_nn;fagområde2_en;http://lenketilverdiomraade420.no;Tittel verdiområde 420;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 421_en;anbefalt term 421_nn;anbefalt term 421_nb;tillatt term 421_nb;tillatt term 421_nn;tillatt term 421_en;frarådet term 421_nb;frarådet term 421_nn;frarådet term 421_en;definisjon 421_nb;definisjon 421_nn;definisjon 421_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 421_nb;definisjon for allmennheten 421_nn;definisjon for allmennheten 421_en;egendefinert;;;definisjon for spesialister 421_nb;definisjon for spesialister 421_nn;definisjon_for_spesialister421_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad421_nb;merknad421_nn;merknad421_en;eksempel421_nb;eksempel421_nn;eksempel421_en;fagområde3_nb;fagområde3_nn;fagområde3_en;http://lenketilverdiomraade421.no;Tittel verdiområde 421;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 422_en;anbefalt term 422_nn;anbefalt term 422_nb;tillatt term 422_nb;tillatt term 422_nn;tillatt term 422_en;frarådet term 422_nb;frarådet term 422_nn;frarådet term 422_en;definisjon 422_nb;definisjon 422_nn;definisjon 422_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 422_nb;definisjon for allmennheten 422_nn;definisjon for allmennheten 422_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 422_nb;definisjon for spesialister 422_nn;definisjon_for_spesialister422_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad422_nb;merknad422_nn;merknad422_en;eksempel422_nb;eksempel422_nn;eksempel422_en;fagområde4_nb;fagområde4_nn;fagområde4_en;http://lenketilverdiomraade422.no;Tittel verdiområde 422;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 423_en;anbefalt term 423_nn;anbefalt term 423_nb;tillatt term 423_nb;tillatt term 423_nn;tillatt term 423_en;frarådet term 423_nb;frarådet term 423_nn;frarådet term 423_en;definisjon 423_nb;definisjon 423_nn;definisjon 423_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 423_nb;definisjon for allmennheten 423_nn;definisjon for allmennheten 423_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 423_nb;definisjon for spesialister 423_nn;definisjon_for_spesialister423_en;egendefinert;;;merknad423_nb;merknad423_nn;merknad423_en;eksempel423_nb;eksempel423_nn;eksempel423_en;fagområde5_nb;fagområde5_nn;fagområde5_en;http://lenketilverdiomraade423.no;Tittel verdiområde 423;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 424_en;anbefalt term 424_nn;anbefalt term 424_nb;tillatt term 424_nb;tillatt term 424_nn;tillatt term 424_en;frarådet term 424_nb;frarådet term 424_nn;frarådet term 424_en;definisjon 424_nb;definisjon 424_nn;definisjon 424_en;egendefinert;;;definisjon for allmennheten 424_nb;definisjon for allmennheten 424_nn;definisjon for allmennheten 424_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 424_nb;definisjon for spesialister 424_nn;definisjon_for_spesialister424_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad424_nb;merknad424_nn;merknad424_en;eksempel424_nb;eksempel424_nn;eksempel424_en;fagområde6_nb;fagområde6_nn;fagområde6_en;http://lenketilverdiomraade424.no;Tittel verdiområde 424;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 425_en;anbefalt term 425_nn;anbefalt term 425_nb;tillatt term 425_nb;tillatt term 425_nn;tillatt term 425_en;frarådet term 425_nb;frarådet term 425_nn;frarådet term 425_en;definisjon 425_nb;definisjon 425_nn;definisjon 425_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 425_nb;definisjon for allmennheten 425_nn;definisjon for allmennheten 425_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 425_nb;definisjon for spesialister 425_nn;definisjon_for_spesialister425_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad425_nb;merknad425_nn;merknad425_en;eksempel425_nb;eksempel425_nn;eksempel425_en;fagområde7_nb;fagområde7_nn;fagområde7_en;http://lenketilverdiomraade425.no;Tittel verdiområde 425;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 426_en;anbefalt term 426_nn;anbefalt term 426_nb;tillatt term 426_nb;tillatt term 426_nn;tillatt term 426_en;frarådet term 426_nb;frarådet term 426_nn;frarådet term 426_en;definisjon 426_nb;definisjon 426_nn;definisjon 426_en;egendefinert;;;definisjon for allmennheten 426_nb;definisjon for allmennheten 426_nn;definisjon for allmennheten 426_en;egendefinert;;;definisjon for spesialister 426_nb;definisjon for spesialister 426_nn;definisjon_for_spesialister426_en;egendefinert;;;merknad426_nb;merknad426_nn;merknad426_en;eksempel426_nb;eksempel426_nn;eksempel426_en;fagområde8_nb;fagområde8_nn;fagområde8_en;http://lenketilverdiomraade426.no;Tittel verdiområde 426;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 427_en;anbefalt term 427_nn;anbefalt term 427_nb;tillatt term 427_nb;tillatt term 427_nn;tillatt term 427_en;frarådet term 427_nb;frarådet term 427_nn;frarådet term 427_en;definisjon 427_nb;definisjon 427_nn;definisjon 427_en;egendefinert;;;definisjon for allmennheten 427_nb;definisjon for allmennheten 427_nn;definisjon for allmennheten 427_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 427_nb;definisjon for spesialister 427_nn;definisjon_for_spesialister427_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad427_nb;merknad427_nn;merknad427_en;eksempel427_nb;eksempel427_nn;eksempel427_en;fagområde9_nb;fagområde9_nn;fagområde9_en;http://lenketilverdiomraade427.no;Tittel verdiområde 427;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 428_en;anbefalt term 428_nn;anbefalt term 428_nb;tillatt term 428_nb;tillatt term 428_nn;tillatt term 428_en;frarådet term 428_nb;frarådet term 428_nn;frarådet term 428_en;definisjon 428_nb;definisjon 428_nn;definisjon 428_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 428_nb;definisjon for allmennheten 428_nn;definisjon for allmennheten 428_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 428_nb;definisjon for spesialister 428_nn;definisjon_for_spesialister428_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad428_nb;merknad428_nn;merknad428_en;eksempel428_nb;eksempel428_nn;eksempel428_en;fagområde10_nb;fagområde10_nn;fagområde10_en;http://lenketilverdiomraade428.no;Tittel verdiområde 428;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 429_en;anbefalt term 429_nn;anbefalt term 429_nb;tillatt term 429_nb;tillatt term 429_nn;tillatt term 429_en;frarådet term 429_nb;frarådet term 429_nn;frarådet term 429_en;definisjon 429_nb;definisjon 429_nn;definisjon 429_en;egendefinert;;;definisjon for allmennheten 429_nb;definisjon for allmennheten 429_nn;definisjon for allmennheten 429_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 429_nb;definisjon for spesialister 429_nn;definisjon_for_spesialister429_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad429_nb;merknad429_nn;merknad429_en;eksempel429_nb;eksempel429_nn;eksempel429_en;fagområde11_nb;fagområde11_nn;fagområde11_en;http://lenketilverdiomraade429.no;Tittel verdiområde 429;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
